error_code,amount,retry_count,gateway_health,time_since_failure,customer_history,previous_attempt_result,recovered
E02,6399.48,1,0.287,1522,0.838,0,0
E01,4340.22,0,0.484,1766,0.304,0,0
E03,9625.14,0,0.901,1108,0.542,1,0
E01,7083.88,2,0.722,389,0.631,1,0
E01,112.61,2,0.456,3533,0.337,1,1
E01,330.47,0,0.976,2922,0.38,0,1
E03,6933.97,0,0.601,2931,0.53,0,1
E03,4185.19,1,0.206,3286,0.807,0,0
E03,8410.76,0,0.205,2203,0.476,1,0
E03,1812.85,0,0.953,3543,0.511,1,0
E02,236.89,2,0.425,3546,0.61,0,0
E02,3942.02,2,0.85,893,0.45,1,0
E01,7387.03,2,0.235,1586,0.733,0,0
E01,9720.1,0,0.318,345,0.055,0,1
E03,8848.17,2,0.885,2528,0.504,1,0
E02,4892.34,0,0.995,400,0.918,1,1
E02,8146.89,2,0.242,2747,0.629,0,0
E03,796.27,1,0.334,2895,0.507,0,0
E03,5765.5,0,0.778,1481,0.776,1,1
E02,9250.55,2,0.624,2274,0.419,0,0
E02,4024.21,1,0.525,3416,0.489,1,1
E01,9605.0,0,0.356,2722,0.233,0,0
E01,2284.78,2,0.956,1587,0.167,0,0
E02,1145.77,2,0.338,3258,0.074,1,0
E01,5295.15,1,0.412,145,0.738,0,0
E02,9081.74,1,0.459,815,0.49,0,0
E99,3181.66,0,0.311,1179,0.933,0,0
E01,8021.59,1,0.629,1311,0.216,0,1
E01,1775.05,2,0.473,2420,0.279,0,0
E01,7481.15,1,0.686,2852,0.65,1,1
E01,5614.57,2,0.494,192,0.101,0,0
E03,1832.67,0,0.293,934,0.523,0,0
E02,7209.06,0,0.898,2944,0.166,1,1
E03,7166.19,0,0.608,1822,0.202,0,1
E03,5202.81,0,0.457,1117,0.531,0,0
E02,2332.13,2,0.213,1596,0.585,0,0
E03,1409.71,1,0.678,2181,0.249,1,0
E01,9576.82,0,0.826,2143,0.305,1,0
E01,6592.54,1,0.72,2985,0.317,0,0
E01,8111.49,2,0.83,3557,0.183,0,0
E03,7000.01,2,0.324,2908,0.958,0,0
E02,8311.79,0,0.977,374,0.701,0,1
E01,1708.66,2,0.369,1518,0.154,1,0
E02,5019.81,1,0.413,1745,0.386,1,0
E01,6704.54,2,0.61,2266,0.212,0,0
E03,1123.56,1,0.204,3452,0.27,0,0
E02,1584.57,2,0.554,1609,0.933,1,1
E02,6376.43,2,0.357,1253,0.179,0,0
E01,8700.19,2,0.799,3240,0.877,1,1
E03,6638.12,0,0.806,2666,0.841,1,0
E02,458.43,2,0.693,1651,0.749,1,1
E01,9707.29,0,0.537,3345,0.517,1,0
E01,1481.12,2,0.448,1090,0.293,1,0
E99,2402.37,1,0.862,866,0.831,1,0
E99,9752.18,0,0.606,78,0.834,1,1
E03,7733.23,0,0.597,293,0.544,0,1
E01,9372.11,2,0.291,3112,0.095,1,0
E99,8085.53,1,0.375,273,0.231,0,0
E03,6552.17,0,0.488,2753,0.103,1,0
E03,2917.07,2,0.759,263,0.219,0,1
E02,3336.13,2,0.876,829,0.528,1,1
E01,9477.98,0,0.994,1262,0.853,1,1
E01,8620.19,0,0.542,773,0.664,0,0
E99,3658.96,2,0.563,455,0.615,1,0
E02,3795.35,1,0.813,3559,0.753,1,1
E01,3047.17,0,0.457,1458,0.652,0,1
E01,3328.69,1,0.632,1523,0.467,0,1
E02,8620.61,2,0.742,2715,0.816,1,0
E01,204.02,1,0.389,3290,0.342,1,0
E99,4416.92,2,0.424,1074,0.922,0,0
E03,9434.11,0,0.485,1632,0.159,0,0
E03,5472.1,2,0.662,1726,0.649,1,0
E02,4559.41,1,0.416,939,0.52,1,1
E03,3192.46,2,0.367,459,0.45,1,0
E02,831.74,1,0.32,3315,0.454,1,0
E03,2322.42,2,0.847,2514,0.09,0,0
E01,995.54,0,0.909,2445,0.756,0,1
E02,1354.32,0,0.924,1144,0.381,0,1
E01,1718.81,2,0.857,2378,0.498,0,1
E02,3090.09,0,0.31,487,0.847,0,0
E01,209.07,2,0.278,425,0.592,0,0
E01,9506.42,0,0.599,3436,0.85,0,1
E01,1325.81,2,0.617,824,0.179,1,0
E02,3893.17,1,0.786,2770,0.315,0,0
E01,8807.32,1,0.378,1002,0.264,0,0
E99,1155.02,1,0.945,2348,0.883,0,0
E02,4887.68,1,0.448,2203,0.785,0,1
E01,8463.36,1,0.662,2603,0.834,1,1
E02,5613.93,1,0.891,3433,0.585,1,0
E01,2182.4,2,0.619,1532,0.258,0,0
E99,7381.54,2,0.803,3117,0.404,1,0
E02,6845.28,1,0.799,1074,0.567,0,1
E03,3685.64,1,0.832,3469,0.068,0,0
E01,558.32,0,0.849,1800,0.651,0,1
E02,177.86,2,0.514,3038,0.854,0,1
E02,8271.39,0,0.491,2971,0.356,0,0
E99,3283.42,1,0.843,2284,0.689,1,0
E02,1463.92,2,0.664,3469,0.505,1,0
E02,5233.66,2,0.686,2431,0.054,1,0
E01,9216.25,1,0.53,2179,0.317,1,1
E01,183.96,1,0.361,912,0.546,0,0
E02,655.82,0,0.566,1355,0.731,0,0
E02,4228.74,1,0.976,23,0.428,0,1
E01,6792.06,0,0.433,2585,0.225,0,0
E03,4813.39,2,0.418,2184,0.107,1,1
E99,8985.73,2,0.305,2509,0.722,1,0
E01,536.44,0,0.585,2263,0.393,0,1
E02,3467.39,0,0.431,891,0.658,0,1
E01,3578.34,1,0.75,3599,0.258,0,1
E03,3467.26,1,0.308,1568,0.759,0,0
E01,4928.09,1,0.398,2518,0.374,1,0
E03,7926.71,0,0.249,483,0.099,0,0
E03,3247.04,2,0.233,2148,0.53,1,0
E03,7470.38,0,0.851,1448,0.738,0,1
E01,1550.01,1,0.925,3339,0.927,1,1
E99,5651.18,2,0.811,2746,0.963,1,0
E01,3813.37,2,0.892,3364,0.479,1,1
E01,5438.19,1,0.269,1130,0.625,1,0
E02,1166.72,0,0.919,2376,0.574,1,1
E02,9539.28,2,0.573,2279,0.552,0,0
E03,9071.52,0,0.815,904,0.158,1,0
E03,8281.32,0,0.693,1180,0.681,0,0
E01,8938.55,0,0.48,2429,0.957,0,0
E99,1552.21,2,0.412,530,0.169,1,0
E01,5086.85,1,0.295,1440,0.343,1,0
E02,3247.3,1,0.53,2669,0.122,0,0
E01,8885.12,2,0.595,3028,0.429,0,0
E99,1975.43,2,0.986,2121,0.503,1,0
E01,2277.46,2,0.23,2410,0.387,1,0
E01,6898.47,0,0.672,2971,0.498,0,1
E02,980.11,1,0.62,832,0.805,0,1
E99,7350.44,1,0.218,2444,0.251,1,0
E99,2754.46,2,0.464,2649,0.762,0,0
E03,6643.26,1,0.538,2942,0.796,0,0
E99,8743.07,0,0.595,2189,0.596,0,0
E99,6135.15,2,0.387,558,0.346,1,1
E02,2205.57,1,0.227,182,0.93,1,1
E01,586.74,2,0.435,2212,0.392,0,1
E03,541.68,1,0.869,997,0.097,0,0
E03,979.24,1,0.846,1323,0.178,1,1
E02,5840.2,0,0.345,1663,0.888,0,0
E01,3547.36,0,0.717,2687,0.191,1,1
E03,2506.76,0,0.939,1276,0.471,0,0
E01,2271.13,0,0.338,2088,0.7,1,1
E99,9490.96,1,0.303,1792,0.589,0,0
E01,1276.28,0,0.218,195,0.664,0,1
E01,3117.66,0,0.338,2489,0.378,0,1
E03,4767.62,2,0.851,1921,0.673,0,0
E01,104.45,2,0.851,795,0.059,0,1
E01,9217.44,0,0.632,2679,0.297,1,0
E02,1081.08,2,0.467,359,0.166,1,0
E99,6856.46,0,0.845,946,0.478,0,0
E01,6325.77,0,0.356,861,0.187,1,0
E01,8109.73,1,0.312,2356,0.565,1,0
E03,6548.74,0,0.271,3563,0.22,0,0
E99,7716.94,0,0.881,3027,0.439,0,0
E02,4270.36,2,0.772,498,0.12,1,0
E01,4938.17,2,0.7,235,0.464,1,0
E01,7046.45,0,0.782,2840,0.81,0,1
E01,5727.42,0,0.315,2081,0.348,0,1
E01,5164.23,2,0.508,1291,0.714,1,0
E03,2135.03,2,0.851,3195,0.45,1,1
E01,2655.27,0,0.933,642,0.27,1,1
E02,3649.12,2,0.61,455,0.335,0,0
E03,191.92,0,0.298,1799,0.334,0,0
E02,4231.9,1,0.983,970,0.748,1,1
E01,127.41,2,0.516,836,0.239,0,0
E03,5693.65,1,0.455,2253,0.969,1,0
E03,7069.88,1,0.296,1097,0.696,1,0
E03,5665.27,2,0.21,2107,0.427,0,0
E01,6965.85,1,0.683,2041,0.988,1,1
E01,100.13,2,0.69,2856,0.253,1,1
E99,688.48,2,0.387,3513,0.767,0,0
E02,7014.78,0,0.33,2264,0.305,1,0
E01,8048.71,2,0.622,1033,0.561,0,0
E02,7205.25,2,0.548,2073,0.101,0,1
E03,6663.82,2,0.443,1736,0.846,0,0
E99,7103.09,1,0.375,1627,0.394,0,0
E01,7421.94,1,0.887,1242,0.599,0,1
E99,7271.34,1,0.987,282,0.922,1,1
E01,7406.28,2,0.484,888,0.078,1,0
E02,832.8,1,0.759,2128,0.96,1,1
E03,726.39,0,0.892,255,0.544,1,1
E01,3675.09,2,0.222,564,0.784,0,0
E01,5323.21,0,0.926,2053,0.495,1,1
E02,7649.93,1,0.599,3585,0.817,1,0
E99,3413.61,0,0.645,601,0.878,0,0
E02,2823.66,1,0.632,283,0.409,0,0
E99,7836.34,1,0.394,1259,0.729,1,0
E03,2568.43,0,0.826,273,0.989,0,0
E02,8226.33,2,0.786,3226,0.762,1,1
E03,1853.62,1,0.277,2834,0.949,1,0
E01,3658.79,1,0.65,421,0.742,0,1
E01,4070.65,0,0.966,365,0.36,0,1
E03,3065.15,2,0.897,1947,0.828,0,0
E03,133.23,2,0.701,1458,0.676,1,0
E01,2431.54,1,0.359,2496,0.081,0,0
E02,3442.77,1,0.478,3339,0.212,0,0
E03,3204.89,1,0.32,1203,0.296,0,0
E99,7877.0,2,0.858,2836,0.749,0,0
E03,568.94,0,0.823,1199,0.799,1,1
E02,3950.59,2,0.928,838,0.827,1,1
E02,471.4,2,0.251,3494,0.113,1,0
E02,9313.41,2,0.972,904,0.118,0,1
E03,7923.07,2,0.973,516,0.331,1,0
E99,9823.4,2,0.74,2132,0.69,1,1
E02,9110.59,0,0.905,2144,0.842,0,0
E01,3226.55,0,0.551,1751,0.867,1,1
E01,6946.68,0,0.451,314,0.245,1,0
E03,3134.89,1,0.323,421,0.771,1,0
E03,8893.29,1,0.225,2727,0.652,0,0
E01,4166.45,0,0.234,571,0.921,1,1
E01,3821.29,1,0.753,994,0.776,1,1
E02,9149.28,0,0.469,2890,0.547,1,0
E01,8383.73,1,0.243,1218,0.786,1,0
E03,9667.49,1,0.29,1241,0.34,0,1
E01,758.23,2,0.732,3298,0.789,0,1
E01,2509.05,2,0.951,2876,0.784,1,1
E99,3078.49,1,0.526,2550,0.854,0,0
E01,4301.09,2,0.822,684,0.278,0,0
E01,4783.99,0,0.979,1025,0.848,0,1
E01,2985.58,0,0.767,2158,0.209,1,1
E01,7925.46,2,0.778,3019,0.776,1,1
E01,2310.12,2,0.693,1818,0.924,1,0
E01,6995.52,0,0.982,2677,0.084,0,1
E01,8532.51,0,0.44,1175,0.638,0,0
E01,6076.61,0,0.826,1316,0.67,1,1
E02,3606.17,0,0.532,2191,0.816,1,1
E03,1960.12,1,0.324,2041,0.147,1,0
E02,1430.03,0,0.791,449,0.905,0,1
E01,7467.33,2,0.864,1399,0.984,0,0
E02,4744.41,1,0.891,3083,0.682,1,1
E99,558.56,2,0.938,1920,0.454,1,0
E99,9840.01,1,0.796,2676,0.647,0,1
E01,6745.9,2,0.622,2975,0.101,1,0
E01,8457.41,0,0.951,1033,0.758,0,1
E01,4438.07,1,0.368,846,0.116,0,0
E01,9558.84,0,0.262,2088,0.353,1,1
E02,2075.3,2,0.545,1727,0.181,1,1
E02,1932.85,1,0.666,3247,0.732,1,1
E01,8914.31,0,0.744,658,0.609,1,1
E02,8928.0,2,0.852,1520,0.707,1,1
E02,5040.29,2,0.221,175,0.111,0,0
E01,1345.28,0,0.842,1308,0.398,1,1
E03,3121.64,2,0.68,2114,0.432,1,0
E01,7566.11,2,0.962,2876,0.616,1,1
E99,8475.32,1,0.478,3039,0.146,1,0
E01,3541.78,1,0.694,5,0.658,1,1
E03,706.21,2,0.813,3139,0.421,1,1
E99,6690.69,1,0.613,2471,0.902,1,0
E99,7421.02,1,0.325,726,0.473,0,0
E03,4297.75,0,0.24,777,0.146,0,0
E03,5872.67,2,0.289,2797,0.147,1,0
E03,9874.98,2,0.596,2499,0.289,1,0
E03,2525.49,0,0.712,742,0.275,1,0
E01,5772.48,1,0.656,1577,0.799,0,0
E02,6148.51,0,0.77,3090,0.729,0,0
E02,5536.16,1,0.231,74,0.122,0,0
E99,8704.38,0,0.309,1841,0.85,1,0
E02,6089.57,2,0.809,3147,0.14,1,1
E02,5128.11,2,0.825,15,0.788,1,1
E03,1317.85,2,0.762,1967,0.155,1,0
E01,7061.77,2,0.796,2011,0.404,0,0
E01,1407.86,2,0.971,1129,0.756,1,0
E02,363.04,0,0.955,1941,0.288,0,1
E02,4936.46,2,0.716,2532,0.157,1,1
E01,5767.21,2,0.455,1021,0.79,0,1
E02,9990.64,0,0.211,1785,0.7,0,0
E02,7152.04,0,0.705,1932,0.888,0,0
E01,8501.04,2,0.545,126,0.653,1,1
E02,3529.24,1,0.318,766,0.12,0,0
E03,5138.26,0,0.372,2341,0.65,0,0
E01,9745.26,1,0.949,1760,0.823,1,1
E99,4232.15,2,0.253,3490,0.129,0,0
E99,8092.18,1,0.83,3060,0.178,1,0
E02,5307.29,1,0.922,799,0.687,0,1
E01,2317.22,1,0.751,3589,0.794,0,1
E02,5846.14,0,0.249,3106,0.382,1,0
E03,2258.81,0,0.877,1514,0.741,0,0
E03,129.97,1,0.723,2235,0.207,0,0
E03,2435.37,0,0.422,1007,0.467,1,0
E02,2012.12,2,0.704,281,0.753,1,1
E03,3772.12,1,0.309,855,0.237,1,1
E01,8897.11,1,0.766,2628,0.378,0,0
E03,3939.75,1,0.922,2055,0.641,0,1
E01,8467.36,2,0.617,1589,0.375,0,1
E03,5600.57,1,0.962,1731,0.872,0,0
E99,175.39,0,0.55,2857,0.949,0,0
E01,1968.49,1,0.886,2505,0.654,1,1
E03,9319.65,0,0.819,2289,0.785,0,1
E01,6081.32,1,0.271,1805,0.902,0,1
E03,9302.51,1,0.93,11,0.71,1,0
E01,3170.19,1,0.928,1201,0.777,1,0
E99,7193.97,1,0.481,455,0.125,0,0
E01,7743.05,1,0.835,2787,0.824,1,1
E99,9759.43,2,0.38,1269,0.308,0,1
E03,279.95,2,0.224,882,0.117,0,0
E02,9527.15,2,0.366,1735,0.604,0,0
E03,3976.74,0,0.587,1728,0.263,1,1
E03,8396.12,1,0.246,3355,0.125,1,0
E99,5492.66,0,0.328,644,0.623,1,0
E01,5690.03,1,0.96,2959,0.143,1,1
E02,3657.84,2,0.595,777,0.884,0,0
E01,8301.88,1,0.858,2886,0.961,0,0
E03,2713.73,2,0.365,1938,0.744,1,0
E01,4973.19,2,0.271,1942,0.32,0,0
E02,5645.73,2,0.824,2538,0.579,0,0
E02,7450.96,2,0.479,335,0.08,0,0
E02,4769.19,2,0.568,2870,0.634,0,0
E02,6834.8,2,0.994,2685,0.298,1,1
E03,4904.41,0,0.453,715,0.478,0,0
E03,6627.27,0,0.579,312,0.218,1,0
E02,6774.02,1,0.708,2604,0.977,0,1
E02,7123.47,2,0.271,330,0.245,0,0
E99,8250.67,1,0.773,2088,0.442,1,0
E01,5453.15,0,0.561,919,0.289,0,0
E01,2013.45,2,0.34,2585,0.559,0,1
E01,6828.44,2,0.544,3321,0.901,0,0
E03,863.47,1,0.569,3029,0.204,0,0
E02,2267.65,2,0.713,2699,0.182,0,0
E03,7942.36,2,0.95,2313,0.12,1,0
E03,4407.19,2,0.812,276,0.604,0,1
E01,5030.64,0,0.506,3420,0.616,0,0
E99,9875.23,0,0.976,3308,0.822,0,1
E03,2428.21,1,0.833,225,0.836,0,0
E01,293.57,2,0.222,2820,0.146,0,0
E02,1202.59,2,0.293,385,0.906,0,0
E01,2520.57,0,0.374,2173,0.83,0,1
E01,7286.61,2,0.267,899,0.658,0,1
E01,7780.64,1,0.588,457,0.376,0,0
E99,5698.34,2,0.473,830,0.751,0,0
E02,2624.96,2,0.978,1153,0.633,0,0
E02,5265.24,0,0.578,1257,0.382,0,0
E03,248.08,1,0.37,1083,0.062,0,0
E02,6849.83,0,0.977,1667,0.607,0,0
E99,6181.55,1,0.611,2304,0.592,1,0
E03,315.79,2,0.258,1671,0.195,0,0
E02,8188.42,2,0.265,2116,0.902,0,0
E02,7657.92,2,0.74,1386,0.2,1,0
E99,3151.42,1,0.596,998,0.32,0,1
E03,6390.23,0,0.699,533,0.4,1,0
E99,6054.78,1,0.88,1120,0.692,1,0
E01,1517.48,1,0.745,692,0.127,1,1
E99,2013.27,1,0.889,1866,0.71,0,1
E03,6863.74,0,0.794,2356,0.44,0,1
E01,9342.16,2,0.74,3043,0.222,0,0
E02,5805.21,1,0.308,1061,0.155,0,0
E03,5721.35,1,0.586,455,0.438,1,0
E01,6502.15,0,0.546,2935,0.469,0,0
E02,4461.73,0,0.633,2612,0.179,0,0
E03,636.3,1,0.513,1140,0.504,0,0
E01,4025.39,1,0.696,3584,0.522,1,1
E02,9012.5,2,0.514,2310,0.972,1,0
E02,8068.97,2,0.646,2699,0.721,1,1
E01,9281.49,1,0.516,1265,0.061,0,0
E99,1613.03,0,0.921,1590,0.498,1,0
E03,5108.98,0,0.499,1257,0.07,1,0
E01,5888.81,0,0.785,2634,0.531,1,1
E99,2178.26,0,0.691,2934,0.368,0,1
E99,2089.61,2,0.508,3098,0.899,0,0
E01,7842.13,0,0.846,1196,0.514,0,1
E03,6751.33,2,0.942,2766,0.849,0,0
E01,6507.16,1,0.808,2460,0.599,1,0
E99,2743.18,1,0.959,46,0.423,0,0
E03,5117.02,2,0.549,2862,0.266,1,0
E03,328.39,2,0.931,474,0.222,0,0
E01,1386.47,0,0.901,463,0.797,1,1
E99,5230.68,2,0.81,386,0.88,1,0
E01,3165.76,0,0.868,1977,0.355,1,0
E01,9660.13,1,0.784,115,0.515,1,1
E01,4767.7,1,0.61,1816,0.32,1,1
E03,927.29,0,0.642,2572,0.478,0,1
E01,276.64,1,0.534,1928,0.867,0,1
E99,7280.05,1,0.731,963,0.18,1,1
E03,1797.92,2,0.46,1203,0.324,1,0
E01,1959.34,2,0.792,2599,0.704,0,0
E01,4295.69,1,0.604,1223,0.342,0,0
E01,2714.2,2,0.483,2398,0.126,1,1
E03,6204.11,2,0.318,2475,0.402,0,0
E03,4908.36,0,0.404,1885,0.686,0,0
E01,1203.36,2,0.712,1339,0.975,1,0
E03,7868.93,2,0.496,215,0.889,1,0
E01,4316.0,0,0.227,2680,0.578,1,1
E03,6147.26,2,0.464,1099,0.781,1,0
E99,139.03,0,0.493,1637,0.587,1,0
E03,6301.36,1,0.387,98,0.514,1,0
E03,2900.21,2,0.429,2672,0.21,1,0
E03,4994.27,2,0.764,3276,0.325,1,1
E01,3047.43,2,0.797,3162,0.475,0,0
E01,9962.98,2,0.967,1111,0.976,1,1
E01,2385.34,0,0.294,321,0.622,0,1
E02,9137.31,2,0.449,342,0.938,1,1
E03,9187.87,1,0.262,1369,0.293,0,0
E03,4267.91,2,0.691,10,0.115,1,0
E99,3109.63,1,0.213,645,0.97,0,1
E01,3872.25,0,0.364,2201,0.36,0,1
E03,9894.46,1,0.67,151,0.553,0,0
E01,6226.08,2,0.487,2235,0.117,1,1
E01,5493.32,2,0.636,3124,0.859,0,0
E03,455.59,1,0.712,3581,0.051,1,0
E99,8493.65,0,0.871,3498,0.902,0,0
E03,929.67,2,0.514,1039,0.205,0,0
E01,565.03,2,0.423,2324,0.222,0,0
E03,2821.1,2,0.631,168,0.826,0,1
E01,4810.31,2,0.256,859,0.413,1,0
E99,8963.36,2,0.234,2805,0.291,0,0
E03,7921.78,1,0.562,738,0.611,1,1
E01,2056.56,2,0.374,1097,0.289,0,0
E01,3783.59,1,0.206,1478,0.319,0,0
E01,7824.38,2,0.743,1191,0.093,1,0
E99,5318.22,0,0.853,2662,0.557,1,0
E02,1827.47,0,0.318,3267,0.172,1,0
E03,4020.95,0,0.651,1938,0.837,0,1
E03,6296.76,1,0.987,2071,0.756,0,0
E02,9734.93,2,0.415,2634,0.318,1,0
E01,6651.94,0,0.785,1441,0.552,0,1
E99,260.33,2,0.33,1636,0.593,0,1
E01,7079.58,2,0.946,3422,0.676,0,1
E02,2583.56,2,0.2,1387,0.444,1,0
E03,8635.37,1,0.436,955,0.663,1,1
E03,3900.51,0,0.981,76,0.209,1,0
E99,2076.19,1,0.737,78,0.493,1,1
E01,4732.68,0,0.369,2767,0.138,1,1
E02,2626.46,0,0.833,831,0.935,0,1
E02,2434.63,2,0.918,2665,0.427,0,1
E02,5775.29,1,0.59,159,0.63,0,1
E01,7696.73,2,0.325,2862,0.51,0,0
E01,8366.05,1,0.407,1468,0.075,1,1
E01,4036.93,1,0.954,2937,0.109,1,0
E01,761.36,2,0.329,2992,0.299,1,0
E02,4891.35,1,0.45,2054,0.684,0,0
E03,4394.44,2,0.316,3510,0.653,0,0
E03,2050.09,0,0.284,3404,0.227,1,1
E02,8971.83,1,0.618,2521,0.509,1,1
E02,9744.07,2,0.517,1772,0.395,1,0
E01,612.3,2,0.237,3334,0.584,0,0
E02,7977.89,2,0.316,3490,0.365,1,0
E01,6492.59,0,0.23,1471,0.892,1,1
E01,2688.22,1,0.22,1168,0.494,1,1
E02,6388.05,0,0.343,1090,0.451,1,1
E02,1373.57,2,0.795,3367,0.711,0,1
E01,787.12,1,0.212,556,0.784,0,0
E02,9935.54,0,0.444,12,0.461,1,1
E02,6400.06,2,0.652,1803,0.152,1,0
E03,2606.9,2,0.795,3424,0.13,0,0
E03,4555.34,0,0.742,1177,0.357,1,1
E03,9505.87,0,0.991,1816,0.739,1,1
E01,4443.38,0,0.421,388,0.664,0,1
E03,9014.4,0,0.2,2953,0.32,1,0
E02,8701.21,1,0.231,3354,0.054,1,1
E02,3507.15,2,0.278,2283,0.654,1,0
E03,6990.49,0,0.98,446,0.581,0,0
E02,6638.94,1,0.656,353,0.776,1,0
E02,7735.0,1,0.839,2663,0.695,0,0
E03,3722.7,2,0.988,462,0.282,1,0
E99,617.14,1,0.875,246,0.739,1,1
E99,1793.29,2,0.526,3204,0.507,0,0
E02,6203.88,2,0.901,1898,0.59,1,0
E02,7773.49,0,0.547,2142,0.386,1,0
E03,7584.88,0,0.291,2429,0.793,0,0
E01,5878.45,0,0.639,1241,0.234,1,1
E03,939.11,0,0.933,845,0.242,1,0
E02,271.16,1,0.828,1869,0.273,0,0
E01,7843.2,0,0.522,273,0.792,1,1
E01,5538.83,1,0.884,1063,0.734,0,1
E03,7848.85,0,0.571,2136,0.303,1,0
E01,1711.61,1,0.748,3394,0.185,1,0
E01,4133.49,2,0.467,2170,0.076,0,0
E01,9199.78,1,0.356,2705,0.693,0,0
E01,1798.82,1,0.451,1123,0.557,1,0
E01,709.12,1,0.9,206,0.71,1,1
E03,6569.33,0,0.992,1354,0.716,1,1
E01,5985.91,1,0.411,2488,0.844,0,0
E03,9525.1,2,0.332,165,0.441,1,1
E99,9074.04,0,0.257,3117,0.828,1,0
E02,7519.36,2,0.803,1065,0.46,0,1
E01,289.66,0,0.622,2475,0.715,0,1
E03,4855.83,0,0.645,3177,0.568,1,0
E01,8971.41,0,0.236,2201,0.916,0,1
E02,4393.15,0,0.265,617,0.398,0,0
E99,9625.24,0,0.932,921,0.698,0,1
E99,6559.63,2,0.661,1685,0.612,1,0
E03,1183.63,2,0.375,3524,0.989,1,0
E01,5141.79,2,0.366,2436,0.123,0,0
E03,6986.61,0,0.393,2219,0.612,1,0
E03,747.15,2,0.251,2890,0.268,1,0
E02,3512.03,2,0.24,510,0.881,0,0
E03,7199.1,0,0.776,293,0.797,1,1
E01,1655.01,1,0.411,2100,0.672,1,0
E01,3548.56,2,0.508,2131,0.502,1,1
E02,6930.11,0,0.63,927,0.69,0,1
E01,7777.85,0,0.456,2258,0.571,0,1
E01,5233.27,1,0.583,551,0.32,0,1
E03,9572.89,1,0.892,711,0.82,1,1
E99,9260.78,1,0.395,3218,0.532,1,0
E02,4787.03,2,0.833,112,0.292,0,1
E03,1686.72,1,0.411,2008,0.674,0,0
E99,7752.02,2,0.35,3039,0.068,0,0
E01,2507.08,0,0.258,2566,0.727,0,0
E02,8443.93,0,0.747,1584,0.492,1,1
E02,5912.73,0,0.529,1132,0.646,1,0
E01,4001.52,0,0.816,219,0.198,1,1
E03,5608.2,0,0.306,448,0.725,0,0
E02,5374.81,2,0.683,2081,0.73,1,1
E02,9254.86,0,0.21,1903,0.747,0,0
E01,2222.19,0,0.387,1357,0.489,0,0
E01,9288.77,0,0.688,1053,0.652,0,1
E99,410.28,0,0.245,289,0.566,1,1
E01,7715.11,0,0.502,444,0.269,1,1
E01,9204.71,0,0.649,1034,0.072,0,0
E01,4001.12,1,0.782,3325,0.439,0,0
E02,823.37,0,0.765,1177,0.816,0,1
E02,8066.21,0,0.319,417,0.353,0,1
E02,8444.36,2,0.26,2070,0.754,1,0
E01,3428.95,0,0.501,456,0.651,0,1
E01,5234.07,0,0.393,1452,0.382,1,1
E03,8113.74,0,0.445,2620,0.051,0,0
E03,2001.23,1,0.474,386,0.455,0,0
E03,6326.86,2,0.518,3322,0.419,1,0
